news,bias
1010 WINS AM,0
12 NEWS KPNX,0
1440 NEWSLETTER,0
1600 DAILY,-1
24/7 WALL ST.,0
24UR.COM,0
2NDVOTE,2
38 NORTH,0
604 NOW,-1
680 NEWS,0
7NEWS,1
9 NEWS,1
972 MAGAZINE,-1
9NEWS – KUSA,0
ABC,1
ABC NEWS,-1
ABC NEWS AUSTRALIA,-1
ABC11 EYEWITNESS NEWS,-1
ABC12/WJRT-TV,0
ABC7 NEW YORK,0
ABC7CHICAGO.COM,0
ABORT73,2
ABOVE THE LAW,-1
ABS-CBN,0
ACCURACY IN ACADEMIA,2
ACCURACY IN MEDIA,2
ACESHOWBIZ,-1
ACHNEWS,-2
ACLU,-1
ACT.TV,-2
ACTIONNEWSJAX.COM,0
AD FONTES MEDIA,0
ADVOCATES FOR SELF-GOVERNMENT,1
ADWEEK,0
AEON,-1
AFFINITY MAGAZINE,-1
AFRICA CHECK,0
AFRICA NEWS,-1
AFRICAN ARGUMENTS,-1
AFTONBLADET,-2
AGAINST CRONY CAPITALISM,2
AGDAILY,0
AGENCE FRANCE-PRESSE,0
AGENZIA NAZIONALE STAMPA ASSOCIATA,0
AGERPRES,0
AGWEB,0
AHRAM ONLINE,1
AHVAL NEWS,-1
AIR FORCE TIMES,0
AIRWARS,0
AKRON BEACON JOURNAL,-1
AL DIA,-2
AL JAZEERA,-1
AL MONITOR,-1
AL-SURA,-1
AL.COM,1
ALABAMA POLITICAL REPORTER,0
ALABAMA TODAY,0
ALAN GUTTMACHER INSTITUTE,-1
ALBANY DEMOCRAT-HERALD,0
ALBANY TIMES-UNION,-1
ALBERTA PRESS LEADER,2
ALBERTA VIEWS,-1
ALBUQUERQUE JOURNAL,1
ALETEIA,1
ALGEMEEN DAGBLAD,0
ALLAFRICA,0
ALLGOV,-1
ALLIANCE FOR JUSTICE,-2
ALLIANCE FOR SECURING DEMOCRACY,0
ALLIED PROGRESS,-1
ALT NEWS,-2
ALTERNET,-2
ALTNEWSMEDIA.NET,2
AM NEW YORK,-1
AMAC,2
AMANDLA,-2
AMARILLO GLOBE-NEWS,0
AMERICA BLOG,-2
AMERICA FIRST ACTION SUPERPAC,2
AMERICA MAGAZINE,-1
AMERICA RISING PAC,2
AMERICAN ACTION FORUM,1
AMERICAN AFFAIRS JOURNAL,1
AMERICAN BRIDGE 21ST CENTURY,-2
AMERICAN CENTER FOR LAW & JUSTICE,2
AMERICAN CONSEQUENCES,2
AMERICAN COUNCIL ON SCIENCE AND HEALTH,1
AMERICAN ENTERPRISE INSTITUTE,2
AMERICAN FIREARMS INSTITUTE,1
AMERICAN FOR PROSPERITY,2
AMERICAN FOREIGN POLICY COUNCIL,2
AMERICAN GREATNESS,2
AMERICAN HERITAGE,0
AMERICAN IMMIGRATION COUNCIL,-1
AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,1
AMERICAN LEGISLATIVE EXCHANGE COUNCIL,2
AMERICAN LIBERTY REPORT,2
AMERICAN MILITARY NEWS,0
AMERICAN NEWS X,-2
AMERICAN OVERSIGHT,-2
AMERICAN PRESS INSTITUTE,0
AMERICAN PUBLIC MEDIA,-1
AMERICAN SPECTATOR,2
AMERICANS UNITED FOR SEPARATION OF CHURCH AND STATE,-2
AMERICAS QUARTERLY,1
AMI MAGAZINE,2
AMMOLAND,2
AMNESTY INTERNATIONAL,-1
AMOMAMA,0
ANADOLU AGENCY,2
ANCHORAGE DAILY NEWS,-1
ANDERSON INDEPENDENT MAIL,0
ANGRY WHITE MEN,-2
ANGUS REID INSTITUTE,1
ANNISTON STAR,-1
ANTHROPOCENE MAGAZINE,-1
ANTI DEFAMATION LEAGUE,-1
ANTI-FASCIST NEWS,-2
ANTI-WAR,1
AOL,-1
APM REPORTS,-1
APTN NATIONAL NEWS,0
ARC DIGITAL,0
ARCAMAX,1
AREO MAGAZINE,-1
ARGUS LEADER,1
ARIZONA CAPITOL TIMES,0
ARIZONA DAILY INDEPENDENT,2
ARIZONA DAILY STAR,-1
ARIZONA DAILY SUN,-1
ARIZONA REPUBLIC,-1
ARKANSAS DEMOCRAT-GAZETTE,1
ARKANSAS TIMES,-1
ARMS CONTROL ASSOCIATION,-1
ARMSTRONG ECONOMICS,2
ARMY TIMES,0
ARS TECHNICA,0
ARTE,-1
ARUTZ SHEVA,1
ASHARQ AL-AWSAT,1
ASHEBORO COURIER-TRIBUNE,0
ASHEVILLE CITIZEN-TIMES,-1
ASIA SENTINEL,-1
ASIA TIMES,0
ASIAN CORRESPONDENT,-1
ASIAN NEWS INTERNATIONAL,1
ASIANNEWS.IT,2
ASSOCIATED PRESS,0
ASSYRIAN INTERNATIONAL NEWS AGENCY,2
ATAVIST MAGAZINE,-1
ATLANTA BLACK STAR,-1
ATLANTA JOURNAL-CONSTITUTION,-1
ATLANTIC,-1
ATLANTIC COUNCIL,1
ATLANTIC MEDIA,-1
ATLAS OBSCURA,0
ATTACK THE SYSTEM,-2
ATTN:,-1
AUSTIN AMERICAN-STATESMAN,-1
AUSTIN DAILY HERALD,-1
AUTOSTRADDLE,-2
AV CLUB,-1
AXIOM NEWS NETWORK,2
AXIOS,-1
AZFAMILY.COM,0
B.T. DENMARK,1
BACKCHANNEL,-1
BADGER INSTITUTE,2
BALKAN INSIGHT,-1
BALLOTPEDIA,0
BALTIMORE CITY PAPER,-2
BALTIMORE SUN,-1
BANGKOK POST,0
BANGOR DAILY NEWS,-1
BAPTIST NEWS GLOBAL,-1
BARRON’S,1
BATTLE CREEK ENQUIRER,-1
BAXTER BULLETIN,0
BAY AREA REPORTER,-2
BBC NEWS,-1
BEARING ARMS,2
BEING LIBERAL,-2
BEING LIBERTARIAN,1
BELFER CENTER FOR SCIENCE AND INTERNATIONAL AFFAIRS,0
BELIEFNET,2
BELLEVILLE NEWS-DEMOCRAT,0
BELLINGCAT,-1
BELLINGHAM HERALD,-1
BENZINGA,0
BERKELEYSIDE,-1
BERKSHIRE EAGLE,-1
BERLINER ZEITUNG,-1
BERLINGSKE,1
BETTER GOVERNMENT ASSOCIATION,0
BIG NEWS NETWORK,0
BIG THINK,0
BILD,1
BILLINGS GAZETTE,1
BILLMOYERS.COM,-2
BILOXI SUN HERALD,0
BING NEWS,-1
BIPARTISAN POLICY CENTER,1
BIRMINGHAM MAIL,-1
BISMARCK TRIBUNE,0
BITCH MEDIA,-2
BIZPAC REVIEW,2
BLABBER BUZZ,2
BLACK AGENDA REPORT,-2
BLACK AMERICA WEB,-2
BLACK LIVES MATTER,-2
BLACK MAIN STREET,-2
BLASTINGNEWS,0
BLEACHER REPORT,-1
BLEEPING COMPUTER,0
BLOOMBERG,-1
BLUE LIVES MATTER,2
BLUE STATE DAILY,-2
BLUESTEM PRAIRIE,-1
BNO NEWS,0
BOINGBOING,-2
BOSTON GLOBE,-1
BOSTON HERALD,1
BOSTON REVIEW,-2
BOSTON.COM,-1
BOUNDING INTO COMICS,2
BOY GENIUS REPORT,-1
BOZEMAN DAILY CHRONICLE,0
BRAMPTON GUARDIAN,-1
BREAKING DEFENSE,1
BREAKTHROUGH INSTITUTE,1
BRENNAN CENTER FOR JUSTICE,-1
BREXITCENTRAL,2
BRIDGE MAGAZINE,0
BRING ME THE NEWS,0
BROOKINGS INSTITUTE,-1
BUENOS AIRES TIMES,1
BUFFALO NEWS,-1
BULLETIN OF ATOMIC SCIENTISTS,-1
BULLSHIDO,0
BURNETT COUNTY SENTINEL,0
BUSINESS INSIDER,-1
BUSINESS2COMMUNITY,0
BUSINESSLIVE,1
BUST MAGAZINE,-2
BUSTLE MAGAZINE,-1
BUZZFEED,-1
BUZZSAW POLITICS,2
C-SPAN,0
C2C JOURNAL,2
CALGARY HERALD,1
CALGARY SUN,2
CALIFORNIA GLOBE,1
CALIFORNIA POLITICAL REVIEW,1
CALWATCHDOG.COM,-1
CAMBRIDGE ANALYTICA,2
CAMPAIGN FOR LIBERTY,1
CAMPIGN LIFE COALITION,2
CAMPUS REFORM,2
CANADA FACT CHECK,-2
CANADALAND,-1
CANADIAN DIMENSION,-2
CANADIAN JEWISH NEWS,1
CANADIAN PUBLIC AFFAIRS CHANNEL,0
CANADIAN TAXPAYERS FEDERATION,1
CAPE COD TIMES,0
CAPITAL & MAIN,-2
CAPITAL GAZETTE,-1
CAPITAL RESEARCH CENTER,2
CAPITALISM MAGAZINE,1
CAPITOL FAX,0
CARE2,-2
CARIBBEAN LIFE NEWS,-1
CARNEGIE ENDOWMENT FOR INTERNATIONAL PEACE,-1
CAROLINA PUBLIC PRESS,-1
CASPER STAR-TRIBUNE,0
CASTANET,0
CATCH NEWS,-1
CATO INSTITUTE,1
CBC NEWS,-1
CBS BOSTON – WBZ-TV,-1
CBS LOS ANGELES – KCBS,-1
CBS NEWS,-1
CBS PHILLY,0
CCN,1
CEASEFIRE MAGAZINE,-2
CENSOR.NET,-1
CENTER FOR A NEW AMERICAN SECURITY,-1
CENTER FOR A STATELESS SOCIETY,-2
CENTER FOR ADVANCED DEFENSE STUDIES,-1
CENTER FOR AMERICAN PROGRESS,-2
CENTER FOR DEMOCRACY AND TECHNOLOGY,0
CENTER FOR FREEDOM AND PROSPERITY,2
CENTER FOR GLOBAL DEVELOPMENT,-1
CENTER FOR INQUIRY,-1
CENTER FOR INTERNATIONAL POLICY,-1
CENTER FOR MEDIA AND DEMOCRACY,-2
CENTER FOR POPULAR DEMOCRACY,-1
CENTER FOR PUBLIC INTEGRITY,-1
CENTER FOR RESPONSIVE POLITICS,0
CENTER FOR STRATEGIC AND INTERNATIONAL STUDIES,0
CENTER FOR THE NATIONAL INTEREST,1
CENTER OF THE AMERICAN EXPERIMENT,2
CENTER ON BUDGET AND POLICY PRIORITIES,-1
CENTRAL NEWS AGENCY  / FOCUS TAIWAN,-1
CHANGE.ORG,-2
CHANNEL 4 NEWS,-1
CHANNEL NEWS ASIA – CNA,0
CHARITY NAVIGATOR,0
CHARLESTON GAZETTE MAIL,-1
CHARLOTTE OBSERVER,-1
CHATTANOOGA TIMES FREE PRESS,0
CHECK YOUR FACT,1
CHEDDAR,-1
CHICAGO READER,-2
CHICAGO REPORTER,-2
CHICAGO SUN-TIMES,-1
CHICAGO TRIBUNE,1
CHICKS ON THE RIGHT,2
CHINA AFRICA PROJECT,-1
CHINA DIGITAL TIMES,1
CHINA INTERNET INFORMATION CENTER,-2
CHINOOK OBSERVER,0
CHRISTIAN COALITION OF AMERICA,2
CHRISTIAN HEADLINES,2
CHRISTIAN NEWS ALERT,2
CHRISTIAN POST,2
CHRISTIAN SCIENCE MONITOR,0
CHRISTIAN TODAY,2
CHRISTIANITY TODAY,1
CHRONICLES MAGAZINE,2
CINNCINATI EQUIRER,0
CITIZEN CRITICS,-2
CITIZEN FREE PRESS,2
CITIZEN TRUTH,-1
CITIZENS AGAINST GOVERNMENT WASTE,2
CITIZENS FOR RESPONSIBILITY AND ETHICS IN WASHINGTON,-1
CITIZENS FOR TAX JUSTICE,-1
CITIZENS UNITED,2
CITY AND STATE NEW YORK,-1
CITY JOURNAL,2
CITY PAGES,-1
CITYLAB,-1
CIVITAS INSTITUTE,2
CLAREMONT INSTITUTE,2
CLARION LEDGER,-1
CLEAN TECHNICA,-1
CNBC,-1
CNET,0
CNN,-2
CODE PINK,-2
COLD DEAD HANDS,2
COLORADO SPRINGS GAZETTE,1
COLUMBIA DAILY HERALD,1
COLUMBIA JOURNALISM REVIEW,-1
COLUMBIA REPORTS,-1
COLUMBUS DISPATCH,-1
COLUMBUS FREE PRESS,-2
COMIC SANDS,-2
COMMENTARY MAGAZINE,2
COMMITTEE FOR A RESPONSIBLE FEDERAL BUDDGET,1
COMMITTEE FOR ECONOMIC DEVELOPMENT,0
COMMITTEE TO INVESTIGATE RUSSIA,-1
COMMITTEE TO PROTECT JOURNALISTS,0
COMMON CAUSE,-1
COMMON DREAMS,-2
COMMONWEAL MAGAZINE,-1
COMMONWEALTH FUND,-1
COMMUNE MAGAZINE,-2
COMMUNITIES DIGITAL NEWS,2
COMPLEX,-1
CONCORD MONITOR,0
CONGRESS.GOV,0
CONGRESSIONAL BUDGET OFFICE,0
CONNECTICUT POST,-1
CONSERVATIVE BASE,2
CONSERVATIVE HQ,2
CONSERVATIVE INSTITUTE,2
CONSERVATIVE OPINION,2
CONSERVATIVE REVIEW,2
CONSERVATIVE TODAY,2
CONSORTIUM NEWS,-1
CONSTITUTION DAILY,0
CONSTITUTION PROJECT,-1
CONSUMER REPORTS,0
CONSUMERIST,0
COOK POLITICAL REPORTS,0
COP BLOCK,-2
CORIERE DELLA SERA,0
CORONAVIRUS.GOV,0
CORPUS CHRISTI CALLER-TIMES,-1
COSMOPOLITAN,-2
COUNCIL FOR THE NATIONAL INTEREST,-1
COUNCIL ON FOREIGN RELATIONS,0
COUNTABLE NEWS,0
COUNTERCURRENTS.ORG,-2
COUNTERPUNCH,-2
COURTHOUSE NEWS SERVICE,0
COVID TRACKING PROJECT,0
COWGER NATION,2
CP24,0
CRAINS DETROIT,0
CRIKEY,-2
CRIME PREVENTION RESEARCH CENTER,2
CRIMEOLA,0
CRIMETHINC,-2
CRISIS MAGAZINE,2
CROOKED MEDIA,-2
CROOKS AND LIARS,-2
CROSSCUT.COM,-1
CT MIRROR,-1
CTV NEWS,0
CURRENT AFFAIRS,-2
CURVE MAGAZINE,-2
D.C. CIRCUIT BREAKER,0
DAILY BEAST,-2
DAILY BUSINESS REVIEW,0
DAILY CALLER,2
DAILY CAMERA,0
DAILY DOT,-2
DAILY EXPRESS,2
DAILY HAMPSHIRE GAZETTE,-1
DAILY HERALD,1
DAILY JOURNAL,0
DAILY JOURNAL,0
DAILY KOS,-2
DAILY LIBERATOR,2
DAILY MAVERICK,0
DAILY MINING GAZETTE,1
DAILY MIRROR,-1
DAILY NATION,-1
DAILY NEWS BIN,-2
DAILY PRESS,1
DAILY RECORD,-2
DAILY RECORD,0
DAILY SIGNAL,2
DAILY SOUND AND FURY,-2
DAILY SURGE,2
DAILY TELEGRAPH,2
DAILY TORCH,2
DAILYO,1
DALLAS MORNING NEWS,1
DALLAS VOICE,-2
DARIEN TIMES,0
DAWN,-1
DAYTON DAILY NEWS,0
DC STATESMAN,2
DC WHISPERS,2
DCIST,-1
DCREPORT.ORG,-1
DE TELEGRAAF,2
DE VOLKSKRANT,1
DEADLINE HOLLYWOOD,-1
DEADSPIN,-2
DEADSTATE,-2
DEATHANDTAXES,-2
DEBUNKING DENIALISM,-1
DECCAN CHRONICLE,1
DECCAN HERALD,-1
DEEP SOUTH VOICE,-2
DEFENSE NEWS,0
DEFENSE ONE,0
DEL RIO NEWS-HERALD,0
DELAWARE ONLINE – THE NEWS JOURNAL,-1
DELO,-1
DEMOCRACY 21,-1
DEMOCRACY CHRONICLES,-2
DEMOCRACY GUARDIAN,-2
DEMOCRACY JOURNAL,-2
DEMOCRACY NOW,-2
DEMOCRAT AND CHRONICLE,-1
DEMOCRATIC UNDERGROUND,-2
DEMOS,-1
DENTON RECORD-CHRONICLE,0
DENVER GAZETTE,1
DENVER POST,-1
DENVER WESTWORD,-1
DES MOINES REGISTER,0
DESERET NEWS,1
DESERT SUN,1
DESHABHIMANI,-2
DESMOG,-2
DETIK.COM,0
DETROIT FREE PRESS,-1
DETROIT METRO NEWS,-2
DETROIT NEWS,1
DEUTSCHLAND.DE,1
DIE PRESSE,1
DIE WELT,1
DIE ZEIT,-1
DIFFERENCEBETWEEN.NET,0
DIGG,-1
DIGITAL JOURNAL,0
DIPLY,-1
DISRN,2
DISSENT MAGAZINE,-2
DIVERSITYINC,-1
DML NEWS,2
DOCTORS WITHOUT BORDERS,0
DONALDJTRUMP.COM,2
DOWNSIZING THE FEDERAL GOVERNMENT,1
DPA GERMAN PRESS AGENCY,0
DRUDGE REPORT,1
DRUDGE RETORT,-2
DULUTH NEWS TRIBUNE,0
DUTCH DAILY NEWS,-1
DUTCH REVIEW,-1
DW NEWS,-1
EAGLE PAC,2
EAGLE PASS NEWS LEADER,2
EAGLE TRIBUNE,0
EARTH FIRST JOURNAL,-2
EARTH INSTITUTE,-1
EARTHJUSTICE,-1
EAST BAY TIMES,-1
EAST IDAHO NEWS,0
EAU CLAIRE LEADER-TELEGRAM,0
ECONOFACT,-1
ECONOMIC POLICY INSTITUTE,-1
ECONOMICPOLICYJOURNAL.COM,2
ECONOMICS.HELP,-1
ECOWATCH,-2
ECUAVISA,1
EDMONTON EXAMINER,1
EDMONTON JOURNAL,1
EDMONTON SUN,1
EGBERTO WILLIES,-2
EGYPT TODAY,2
EGYPTIAN STREETS,-1
EJ INSIGHT,0
EL DIARIO NY,-1
EL MUNDO,1
EL NUEVO DIA,0
EL PAIS,-1
EL PASO TIMES,-1
ELECTORAL-VOTE.COM,-2
ELECTRONIC FRONTIER FOUNDATION,-1
ELECTRONIC INTIFADA,-2
ELISABETH PARKER,-2
ELITE DAILY,-2
ELKO DAILY FREE PRESS,0
ELLE MAGAZINE,-2
EMERGING EUROPE,-1
EMPTY WHEEL,-1
ENERGY CITIZENS,2
ENGADGET,-1
ENTERTAINMENT WEEKLY,-1
ENTREPRENEUR MAGAZINE,1
ERIE TIMES-NEWS,0
ERR NEWS,0
ESPN,-1
ESQUIRE MAGAZINE,-2
ETHICS & RELIGIOUS LIBERTY COMMISSION,2
ETHICS AND PUBLIC POLICY CENTER,1
ETHNIKOS KYRIX,1
EU OBSERVER,-1
EUGENE REGISTER-GUARD,-1
EURACTIV,-1
EURASIA GROUP,0
EURASIA REVIEW,-1
EUROMAIDEN PRESS,-1
EURONEWS,-1
EVERY CRS REPORT,0
EVERYDAY FEMINISM,-2
EVONOMICS,-2
EXPOSING THE TRUTH,-1
EXPRESSEN,1
EXTRANEWSFEED,-2
FACEBOOK NEWS,-1
FACT CHECK,0
FACT/MYTH,-1
FACTS AND LOGIC ABOUT THE MIDDLE EAST,2
FACTWIRE NEWS AGENCY,0
FAIR OBSERVER,0
FAIRNESS AND ACCURACY IN REPORTING,-1
FAIRVOTE,-1
FAITH FAMILY AMERICA,1
FAITHWIRE,2
FAKE HATE CRIMES,2
FAR LEFT WATCH,2
FAST COMPANY,-1
FAYETTEVILLE OBSERVER,0
FDD’S LONG WAR JOURNAL,1
FEDERAL NEWS NETWORK,0
FEDERAL TIMES,0
FEDERALIST PRESS,2
FEDERALIST SOCIETY,2
FEMINIST CURRENT,-2
FEMINIST FREQUENCY,-1
FEMINISTING,-2
FIFTH COLUMN NEWS,-2
FIFTH ESTATE,-2
FIGHT FOR THE FUTURE,-1
FINANCIAL EXPRESS,1
FINANCIAL POST,1
FINANCIAL TIMES,0
FINNISH NEWS,-2
FIREARMS NEWS,1
FIRST COAST NEWS,0
FIRST DRAFT NEWS,0
FIRST IN FREEDOM DAILY,2
FIRST POST,1
FIRST THINGS MAGAZINE,2
FITCH RATINGS,1
FITSNEWS,1
FIVETHIRTYEIGHT,-1
FLORIDA POLITICS,0
FLORIDA TIMES UNION,0
FOOD AND WATER WATCH,-2
FORBES,1
FOREIGN AFFAIRS,0
FOREIGN POLICY,0
FOREIGN POLICY IN FOCUS,-1
FOREIGN POLICY JOURNAL,-2
FOREIGN POLICY NEWS,-2
FOREIGN POLICY RESEARCH INSTITUTE,1
FORT BEND HERALD,1
FORT WORTH STAR-TELEGRAM,1
FORT WORTH WEEKLY,-1
FORTNIGHTLY REVIEW,1
FORTUNE MAGAZINE,1
FOSTER’S DAILY DEMOCRAT,0
FOUNDATION FOR DEFENSE OF DEMOCRACIES,2
