,bp_plc,chevron_corporation,conocophillips,exxon_mobil_corporation,marathon_oil_corporation,marathon_petroleum_corporation,occidental_petroleum_corporation,phillips_66,pioneer_natural_resources_company,valero_energy_corporation
2020-02-25,100.71,100.71,53.83,54.2,8.92,53.12,36.19,82.81,130.09,74.44
2020-02-26,98.04,98.04,51.17,53.01,8.41,52.27,34.22,80.33,125.49,71.72
2020-02-27,94.13,94.13,47.13,49.82,7.93,47.93,31.81,74.26,122.67,66.19
2020-02-28,93.34,93.34,48.42,51.44,8.28,47.42,32.74,74.86,122.78,66.25
2020-03-02,93.34,93.34,48.42,51.44,8.28,47.42,32.74,74.86,122.78,66.25
2020-03-03,96.59,96.59,49.23,53.88,8.34,47.73,32.95,75.11,124.32,67.87
2020-03-04,94.39,94.39,48.12,51.3,8.08,45.17,32.99,72.86,120.03,64.44
2020-03-05,98.53,98.53,49.43,52.42,8.11,45.88,32.93,74.63,123.5,64.15
2020-03-06,97.19,97.19,47.7,50.11,7.8,41.21,31.48,71.98,118.61,61.7
2020-03-09,81.53,81.53,33.3,40.88,4.08,32.0,15.5,61.99,70.4,60.57
2020-03-10,26.79,84.98,34.88,43.41,4.4,34.52,14.34,63.36,79.86,60.45
2020-03-11,84.98,84.98,34.88,43.41,4.4,34.52,14.34,63.36,79.86,60.45
2020-03-12,21.57,76.26,28.2,37.18,3.98,22.89,11.89,46.4,60.68,43.96
2020-03-13,22.17,83.42,31.38,38.12,4.53,24.92,14.26,54.36,70.68,49.9
2020-03-16,83.42,83.42,31.38,38.12,4.53,24.92,14.26,54.36,70.68,49.9
2020-03-17,69.7,69.7,26.08,34.49,4.0,20.29,12.02,48.27,59.72,41.63
2020-03-18,16.11,55.05,22.67,33.12,3.45,16.75,10.53,42.97,56.77,35.02
2020-03-19,56.62,56.62,25.45,33.37,3.82,16.61,10.48,45.39,59.15,36.95
2020-03-20,59.89,59.89,27.95,32.83,3.5,18.68,10.1,48.77,62.27,38.83
2020-03-23,53.63,53.63,24.39,31.47,3.38,16.65,9.63,42.32,61.84,32.97
2020-03-24,22.12,66.55,30.74,35.44,3.61,17.5,10.72,45.58,72.62,34.65
2020-03-25,24.29,69.27,30.94,37.29,3.58,21.11,12.0,50.5,72.31,39.63
2020-03-26,24.42,76.38,32.09,38.82,3.88,23.14,12.83,54.39,74.34,45.6
2020-03-27,22.35,68.78,29.25,36.95,3.52,23.15,11.61,52.32,68.65,45.04
2020-03-30,68.78,68.78,29.25,36.95,3.52,23.15,11.61,52.32,68.65,45.04
2020-03-31,71.95,71.95,29.29,38.3,3.35,25.31,11.71,55.08,69.35,48.03
2020-04-01,72.46,72.46,30.8,36.49,3.18,21.4,10.85,51.1,67.01,42.03
2020-04-02,68.56,68.56,29.62,38.63,3.21,21.86,11.46,51.11,71.58,43.02
2020-04-03,76.12,76.12,32.91,42.07,3.63,21.9,13.7,52.57,78.9,41.88
2020-04-06,25.05,80.39,32.8,40.47,3.62,23.09,13.44,57.42,57.42,46.1
2020-04-07,24.8,80.92,33.27,41.24,3.68,22.51,13.84,58.63,58.63,48.01
2020-04-08,25.39,85.98,35.68,43.85,3.95,24.31,15.56,63.7,63.7,51.6
2020-04-09,24.9,84.31,34.73,43.13,4.12,25.63,15.36,61.52,61.52,50.1
2020-04-10,,,,,,,,,,
2020-04-13,24.91,84.91,34.3,42.76,4.39,25.33,15.33,61.56,61.56,49.7
2020-04-14,84.61,84.61,34.08,42.43,4.25,26.3,14.9,61.07,61.07,50.95
2020-04-15,82.49,82.49,32.2,40.48,4.23,23.98,13.61,56.47,74.92,46.7
2020-04-16,79.99,79.99,31.07,39.15,3.89,21.95,12.2,53.53,71.11,45.0
2020-04-17,87.17,87.17,35.26,43.22,4.35,25.45,13.63,59.53,76.63,51.76
2020-04-20,83.57,83.57,34.57,41.18,4.21,24.85,12.59,58.12,71.28,50.31
2020-04-21,81.64,81.64,33.19,40.96,4.24,23.72,12.34,56.8,73.47,49.45
2020-04-22,84.44,84.44,34.98,42.13,4.53,24.69,13.02,58.18,80.66,50.57
2020-04-23,86.8,86.8,36.18,43.45,4.84,25.94,13.87,59.97,79.31,52.07
2020-04-24,87.01,87.01,36.09,43.73,4.93,25.76,13.81,60.53,77.45,52.5
2020-04-27,89.71,89.71,37.15,43.94,4.85,26.45,14.15,63.49,81.86,55.57
2020-04-28,89.91,89.91,38.48,44.97,4.99,28.43,15.17,67.34,82.76,57.87
2020-04-29,94.62,94.62,42.21,47.46,5.85,33.04,16.78,73.5,89.8,66.28
2020-04-30,92.0,92.0,42.1,46.47,6.12,32.08,16.6,73.17,89.31,63.35
2020-05-01,89.44,89.44,39.14,43.14,5.5,29.24,15.24,66.36,82.92,58.76
2020-05-04,91.44,91.44,40.36,44.88,5.81,31.53,15.52,73.48,83.06,63.66
2020-05-05,92.89,92.89,40.92,44.83,5.53,31.14,15.32,75.2,82.48,63.02
2020-05-06,90.05,90.05,40.49,43.99,5.6,29.53,13.4,71.91,81.83,60.91
2020-05-07,92.64,92.64,42.42,44.24,5.51,30.78,13.88,73.31,87.02,61.26
2020-05-08,95.47,95.47,43.08,46.18,5.78,33.03,15.02,77.06,89.99,65.92
2020-05-11,93.37,93.37,42.27,45.74,5.75,32.7,15.03,76.67,84.44,65.57
2020-05-12,91.1,91.1,41.58,44.12,5.96,32.21,14.58,73.53,84.03,63.34
2020-05-13,88.7,88.7,39.89,41.93,5.56,31.05,13.44,71.03,79.38,59.05
2020-05-14,90.05,90.05,39.93,42.3,5.64,30.89,13.76,71.75,82.21,59.41
2020-05-15,89.16,89.16,40.87,42.0,5.61,30.3,13.82,70.93,82.86,58.78
2020-05-18,92.55,92.55,43.6,45.34,6.08,34.95,15.07,76.28,93.38,64.35
2020-05-19,89.62,89.62,42.67,43.94,5.82,34.5,14.37,75.22,89.65,64.05
2020-05-20,93.0,93.0,44.15,45.37,5.95,36.82,14.99,78.25,92.43,67.34
2020-05-21,92.04,92.04,43.72,44.56,5.94,35.69,14.25,77.09,92.93,65.73
2020-05-22,90.28,90.28,43.28,44.6,5.89,35.57,14.13,76.46,92.42,65.68
2020-05-25,,,,,,,,,,
2020-05-26,93.3,93.3,43.67,45.91,6.03,36.83,14.4,78.97,93.72,68.7
2020-05-27,93.9,93.9,44.67,46.24,6.15,36.58,14.42,81.73,94.19,70.18
2020-05-28,90.87,90.87,43.01,45.04,5.7,35.18,13.64,78.56,92.54,67.13
2020-05-29,91.7,91.7,42.18,45.47,5.34,35.14,12.95,78.26,91.6,66.64
2020-06-01,92.79,92.79,43.39,46.28,5.69,36.5,13.81,78.83,92.91,66.58
2020-06-02,94.69,94.69,44.2,47.31,5.86,37.72,14.75,81.57,96.16,68.19
2020-06-03,97.18,97.18,45.12,49.24,5.95,38.59,15.45,83.73,100.77,70.54
2020-06-04,96.28,96.28,44.71,49.1,6.23,38.04,15.55,83.13,103.55,70.05
2020-06-05,100.81,100.81,48.59,53.08,7.32,41.56,20.79,87.4,110.89,74.64
2020-06-08,103.24,103.24,50.31,54.74,8.43,42.21,24.4,89.73,116.78,75.62
2020-06-09,101.53,101.53,48.63,53.52,7.66,40.41,23.18,85.67,108.53,71.27
2020-06-10,97.58,97.58,45.91,50.65,7.11,39.19,20.76,84.33,102.73,69.05
2020-06-11,89.37,89.37,42.12,46.18,6.26,35.33,17.41,75.0,96.64,60.68
2020-06-12,92.39,92.39,43.73,47.17,6.58,36.62,18.5,77.26,98.23,63.79
2020-06-15,91.23,91.23,43.35,47.14,6.6,37.84,19.05,75.6,95.55,63.59
2020-06-16,94.03,94.03,45.11,48.2,6.74,38.64,20.29,77.04,97.06,66.16
2020-06-17,91.54,91.54,44.02,46.63,6.37,37.13,19.04,72.88,94.24,62.32
2020-06-18,91.94,91.94,44.45,46.92,6.49,38.47,19.67,76.24,94.54,64.63
2020-06-19,90.63,90.63,43.7,45.98,6.36,38.19,19.71,74.7,93.58,63.16
2020-06-22,91.59,91.59,43.56,46.42,6.27,38.61,19.91,74.4,95.1,62.66
2020-06-23,91.44,91.44,43.81,46.7,6.33,38.8,19.79,74.7,96.76,62.65
2020-06-24,87.64,87.64,40.99,44.5,5.79,36.23,18.0,69.99,92.16,58.02
2020-06-25,89.21,89.21,42.06,45.17,5.98,36.69,18.54,70.07,97.7,57.28
2020-06-26,86.46,86.46,40.35,43.62,5.74,35.37,17.69,68.07,94.11,56.32
2020-06-29,87.67,87.67,41.3,44.32,5.96,35.4,17.86,68.66,94.44,56.95
2020-06-30,89.23,89.23,42.02,44.72,6.12,37.38,18.3,71.9,97.7,58.82
2020-07-01,87.62,87.62,40.74,43.71,5.95,35.68,17.41,69.11,95.5,56.44
2020-07-02,88.31,88.31,41.78,44.08,6.12,36.07,17.78,68.42,96.8,56.34
2020-07-03,,,,,,,,,,
2020-07-06,88.57,88.57,41.63,44.39,5.86,36.36,18.18,68.09,98.72,56.47
2020-07-07,86.31,86.31,40.64,43.24,5.57,34.69,17.15,64.61,96.07,53.12
2020-07-08,86.35,86.35,41.04,43.14,5.67,34.15,17.28,63.98,96.59,52.98
2020-07-09,82.74,82.74,38.35,41.36,5.27,33.35,16.28,58.98,91.48,50.22
2020-07-10,85.23,85.23,39.69,42.65,5.35,36.2,16.71,61.06,92.44,53.65
2020-07-13,85.4,85.4,39.66,42.66,5.13,35.31,16.16,60.27,91.0,53.23
2020-07-14,88.35,88.35,41.31,44.07,5.37,36.2,16.68,61.96,95.66,54.4
2020-07-15,88.89,88.89,41.62,44.63,5.69,37.57,17.18,65.46,96.59,57.23
2020-07-16,88.36,88.36,41.59,44.28,5.72,37.39,17.01,64.87,96.82,56.58
2020-07-17,87.19,87.19,39.96,43.52,5.51,37.93,16.28,63.84,96.52,55.47
2020-07-20,85.27,85.27,39.33,42.5,5.49,36.75,15.69,62.33,96.91,54.33
2020-07-21,91.39,91.39,41.66,44.65,5.86,38.54,17.41,66.42,102.72,57.58
2020-07-22,91.04,91.04,40.89,43.61,5.79,38.73,16.95,65.25,102.51,57.07
2020-07-23,91.01,91.01,40.46,43.7,5.76,38.88,16.82,65.18,100.66,57.67
2020-07-24,90.13,90.13,40.28,43.43,5.72,38.7,16.74,65.06,99.68,57.98
2020-07-27,91.04,91.04,39.77,44.07,5.63,38.52,16.7,64.59,98.52,58.03
2020-07-28,89.11,89.11,38.96,43.55,5.53,38.12,16.35,63.58,96.55,56.89
2020-07-29,90.07,90.07,39.94,44.03,5.74,39.91,17.03,65.58,98.54,59.69
2020-07-30,86.27,86.27,37.64,41.87,5.51,38.08,15.77,63.09,95.85,56.33
2020-07-31,83.94,83.94,37.39,42.08,5.49,38.2,15.74,62.02,96.92,56.23
2020-08-03,84.81,84.81,36.71,42.25,5.52,38.57,15.25,61.12,97.84,53.91
2020-08-04,86.49,86.49,37.64,43.47,5.78,37.69,15.74,61.85,99.52,53.02
2020-08-05,87.2,87.2,38.02,43.85,5.98,36.43,15.94,61.96,102.65,51.62
2020-08-06,87.47,87.47,38.05,43.64,5.68,35.73,15.45,60.97,102.36,51.48
2020-08-07,86.8,86.8,38.3,43.44,5.74,36.67,15.45,62.87,104.28,52.66
2020-08-10,89.73,89.73,39.64,44.51,6.04,37.13,16.48,64.87,108.99,53.55
2020-08-11,89.62,89.62,39.71,44.97,5.94,36.95,15.16,64.11,106.56,53.65
2020-08-12,90.72,90.72,41.66,44.09,5.98,38.13,14.92,64.41,110.5,55.12
2020-08-13,89.82,89.82,40.63,43.01,5.89,37.26,14.6,62.63,109.94,53.19
2020-08-14,90.35,90.35,40.82,43.2,6.05,38.35,14.64,63.66,110.73,54.46
2020-08-17,90.77,90.77,40.7,42.64,5.92,38.65,13.91,62.36,108.61,55.6
2020-08-18,87.63,87.63,40.33,42.43,5.95,37.24,13.95,61.31,107.7,54.74
2020-08-19,86.39,86.39,39.65,41.96,5.73,37.18,13.82,61.42,104.77,54.26
2020-08-20,84.81,84.81,38.77,41.32,5.51,35.62,13.4,60.97,102.67,52.7
2020-08-21,85.08,85.08,38.16,41.01,5.27,35.4,13.16,60.97,102.11,52.62
2020-08-24,87.2,87.2,38.87,42.22,5.45,36.81,13.62,63.65,104.75,54.99
2020-08-25,86.13,86.13,38.85,40.88,5.49,36.45,13.51,61.63,106.92,54.25
2020-08-26,84.78,84.78,37.56,40.01,5.3,35.33,12.96,60.03,104.41,53.7
2020-08-27,84.91,84.91,38.15,39.74,5.36,34.98,13.04,60.26,105.38,53.44
2020-08-28,85.63,85.63,38.38,40.69,5.39,37.09,13.13,61.79,105.6,54.89
2020-08-31,83.93,83.93,37.89,39.94,5.28,35.46,12.74,58.47,103.93,52.59
2020-09-01,83.08,83.08,37.16,39.43,5.32,34.97,12.48,58.79,102.98,52.47
2020-09-02,83.19,83.19,36.38,39.19,5.12,35.01,12.4,60.05,100.92,52.91
2020-09-03,82.28,82.28,35.99,39.11,4.99,34.26,12.59,59.69,98.38,52.33
2020-09-04,81.93,81.93,35.86,39.08,4.93,33.64,12.25,58.98,99.1,51.22
2020-09-07,,,,,,,,,,
2020-09-08,78.97,78.97,34.06,38.18,4.5,32.33,11.06,57.96,94.36,48.73
2020-09-09,80.03,80.03,34.46,37.95,4.54,31.77,11.07,57.87,96.6,47.75
2020-09-10,78.15,78.15,32.92,37.0,4.36,30.27,10.19,55.36,91.45,45.63
2020-09-11,77.69,77.69,33.11,36.9,4.47,31.25,10.22,57.07,92.07,46.39
2020-09-14,77.29,77.29,33.52,36.66,4.4,32.02,10.17,58.37,93.35,47.51
2020-09-15,76.35,76.35,33.8,36.27,4.34,31.09,10.71,58.05,94.63,46.56
2020-09-16,78.56,78.56,35.08,37.81,4.56,32.36,11.64,60.51,97.55,49.1
2020-09-17,78.79,78.79,36.09,37.8,4.68,32.12,11.86,60.35,97.08,49.0
2020-09-18,78.21,78.21,35.87,37.19,4.82,32.28,11.65,59.82,95.78,48.71
2020-09-21,76.3,76.3,34.36,36.43,4.56,31.25,11.29,55.92,91.92,47.36
2020-09-22,75.53,75.53,34.3,35.53,4.47,31.04,11.08,55.36,92.52,47.42
2020-09-23,71.95,71.95,32.92,34.39,4.21,28.73,10.41,52.63,86.9,44.51
2020-09-24,71.8,71.8,33.6,34.32,4.31,28.62,10.64,52.85,86.56,44.58
2020-09-25,71.83,71.83,33.7,34.64,4.14,28.63,10.22,52.88,85.9,43.92
2020-09-28,73.93,73.93,33.71,35.31,4.29,29.95,10.34,53.98,88.31,44.82
2020-09-29,71.9,71.9,32.46,34.28,4.16,29.43,9.99,52.19,86.4,43.41
2020-09-30,72.0,72.0,32.84,34.33,4.09,29.34,10.01,51.84,85.99,43.32
2020-10-01,70.42,70.42,32.43,33.13,3.95,27.71,9.68,50.28,84.57,40.28
2020-10-02,71.19,71.19,33.07,32.98,4.12,28.27,9.87,51.06,86.54,40.73
2020-10-05,72.7,72.7,34.28,33.74,4.23,29.24,10.51,52.55,89.32,43.07
2020-10-06,72.3,72.3,33.3,33.39,4.04,28.83,10.13,51.06,88.03,42.33
2020-10-07,73.78,73.78,34.33,33.5,4.13,29.21,10.28,51.93,88.94,42.35
2020-10-08,75.22,75.22,35.53,35.26,4.38,31.12,11.18,53.64,89.48,44.36
2020-10-09,74.0,74.0,35.13,34.74,4.26,30.12,10.82,53.04,88.07,43.64
2020-10-12,74.51,74.51,35.59,34.63,4.29,30.49,10.81,53.46,88.68,43.09
2020-10-13,73.4,73.4,34.88,34.22,4.23,29.38,10.52,51.27,88.15,41.43
2020-10-14,72.95,72.95,34.53,34.15,4.2,29.91,10.45,52.08,90.09,41.71
2020-10-15,73.51,73.51,35.4,34.45,4.27,30.54,10.61,52.51,92.22,41.56
2020-10-16,72.89,72.89,33.77,34.1,4.07,29.37,10.09,50.58,90.26,40.22
2020-10-19,71.28,71.28,32.7,33.42,3.98,28.25,9.82,48.95,87.05,39.29
2020-10-20,71.68,71.68,32.58,33.7,4.15,29.24,10.07,49.59,83.53,40.7
2020-10-21,70.87,70.87,30.64,33.16,4.1,28.82,9.66,48.72,78.44,40.54
2020-10-22,73.4,73.4,31.91,34.86,4.37,29.51,10.17,50.01,83.0,41.28
2020-10-23,72.57,72.57,32.54,34.16,4.44,29.89,10.02,50.48,85.54,41.97
2020-10-26,70.94,70.94,30.32,33.35,4.13,28.6,9.46,48.14,82.8,39.54
2020-10-27,69.51,69.51,30.26,32.82,4.13,28.19,9.27,47.07,83.78,38.26
2020-10-28,66.88,66.88,28.79,31.57,3.85,27.5,8.88,44.22,80.33,36.19
2020-10-29,68.8,68.8,29.16,32.97,3.99,28.83,9.13,45.98,81.42,37.53
2020-10-30,69.5,69.5,28.62,32.62,3.96,29.5,9.13,46.66,79.56,38.61
2020-11-02,72.15,72.15,30.23,33.99,4.15,31.3,9.65,47.96,82.8,39.9
2020-11-03,71.74,71.74,29.31,33.41,4.14,31.91,9.69,47.52,82.2,39.48
2020-11-04,71.77,71.77,30.38,33.23,4.27,31.7,9.81,47.92,83.5,38.97
2020-11-05,72.14,72.14,30.12,33.17,4.29,31.83,10.47,48.19,79.58,39.53
2020-11-06,71.15,71.15,29.19,32.78,4.13,31.58,10.01,46.68,77.34,38.17
2020-11-09,79.4,79.4,33.38,36.93,5.09,36.47,12.23,57.03,88.37,50.08
2020-11-10,83.07,83.07,35.53,36.86,5.07,37.64,12.38,58.14,91.75,49.96
2020-11-11,82.46,82.46,35.28,36.48,5.07,37.19,11.9,58.98,90.64,49.79
2020-11-12,80.67,80.67,34.01,35.23,4.82,34.7,11.31,54.85,86.27,47.28
2020-11-13,83.03,83.03,35.36,36.08,5.06,37.56,11.8,58.76,90.67,50.92
2020-11-16,88.96,88.96,38.08,38.16,5.48,40.73,12.7,62.62,94.71,55.67
2020-11-17,87.04,87.04,38.85,38.67,5.5,40.61,12.99,64.34,95.91,54.15
2020-11-18,84.28,84.28,39.18,37.21,5.49,38.54,12.87,60.75,94.61,51.25
2020-11-19,85.73,85.73,39.47,37.4,5.69,39.08,13.36,61.45,96.63,51.21
2020-11-20,85.79,85.79,39.65,36.94,5.6,38.26,13.49,61.59,95.81,50.82
2020-11-23,91.03,91.03,42.71,39.36,6.17,41.22,15.76,65.84,104.5,56.09
2020-11-24,95.62,95.62,44.41,41.98,6.45,42.45,16.78,67.72,111.35,58.49
2020-11-25,92.14,92.14,43.63,40.81,6.43,41.48,16.72,66.26,109.96,56.43
2020-11-26,,,,,,,,,,
2020-11-27,91.31,91.31,42.78,40.19,6.35,41.42,16.56,65.23,110.07,56.62
2020-11-30,87.18,87.18,39.56,38.13,5.92,38.88,15.76,60.58,100.58,53.77
2020-12-01,87.45,87.45,39.27,38.5,5.86,39.45,15.13,61.88,99.8,54.4
2020-12-02,89.87,89.87,39.97,39.94,6.06,40.58,15.89,64.43,101.53,58.07
2020-12-03,89.8,89.8,41.2,40.21,6.19,40.99,16.39,65.02,105.35,57.91
2020-12-04,93.28,93.28,44.27,41.68,6.85,42.91,18.59,69.32,114.06,61.27
2020-12-07,90.76,90.76,42.82,40.9,6.69,42.21,18.19,67.05,110.28,59.46
2020-12-08,91.54,91.54,42.68,42.24,7.07,42.45,19.13,67.39,114.27,58.98
2020-12-09,90.44,90.44,42.7,42.8,7.15,42.64,19.39,68.77,114.43,58.8
2020-12-10,93.35,93.35,44.0,44.01,7.3,43.83,21.31,70.86,118.79,59.87
2020-12-11,92.45,92.45,43.48,43.8,7.06,42.91,20.89,69.51,115.57,59.03
2020-12-14,89.44,89.44,42.32,42.22,6.72,40.76,19.17,67.19,113.11,56.39
2020-12-15,89.37,89.37,42.8,43.04,6.91,42.25,19.84,68.25,117.44,57.48
2020-12-16,88.69,88.69,42.32,43.7,6.97,41.65,19.45,67.29,116.89,56.92
2020-12-17,88.41,88.41,41.97,43.48,6.91,40.58,19.18,67.17,114.38,56.34
2020-12-18,87.19,87.19,40.98,42.73,6.73,40.35,18.52,66.85,114.36,54.77
2020-12-21,86.09,86.09,40.24,41.95,6.55,39.75,17.47,66.49,110.89,54.05
2020-12-22,84.36,84.36,39.03,41.24,6.31,39.67,16.92,67.51,108.44,53.7
2020-12-23,85.69,85.69,40.08,41.77,6.81,41.31,17.89,69.36,113.12,55.79
2020-12-24,85.33,85.33,39.49,41.6,6.63,41.21,17.67,68.73,112.49,55.68
2020-12-25,,,,,,,,,,
2020-12-28,84.9,84.9,39.3,41.74,6.63,40.78,17.4,69.33,110.65,55.09
2020-12-29,84.61,84.61,39.07,41.27,6.57,40.73,17.24,68.38,110.64,55.45
2020-12-30,85.33,85.33,40.01,41.6,6.8,41.57,17.91,70.6,114.57,56.72
2020-12-31,84.45,84.45,39.99,41.22,6.67,41.36,17.31,69.94,113.89,56.57
2021-01-01,,,,,,,,,,
2021-01-04,84.71,84.71,39.57,41.5,6.83,40.75,17.45,69.88,113.48,55.73
2021-01-05,87.0,87.0,41.84,43.5,7.45,42.09,19.21,71.75,121.35,57.32
2021-01-06,89.8,89.8,43.51,44.61,7.5,42.95,20.0,71.22,126.36,58.6
2021-01-07,90.22,90.22,44.7,44.96,7.69,44.17,20.57,71.86,131.99,59.67
2021-01-08,91.08,91.08,44.7,45.46,7.55,43.18,20.08,70.71,131.24,57.71
2021-01-11,91.6,91.6,45.36,46.84,7.64,43.59,20.08,72.27,131.42,58.64
2021-01-12,93.34,93.34,47.42,47.88,8.39,45.58,22.62,73.74,135.12,59.51
2021-01-13,93.25,93.25,47.03,48.42,8.04,44.32,22.33,71.77,130.93,57.7
2021-01-14,95.49,95.49,47.87,50.31,8.67,45.52,24.24,74.14,132.38,60.27
2021-01-15,92.09,92.09,45.12,47.89,8.25,43.98,22.39,71.74,127.38,58.3
2021-01-18,,,,,,,,,,
2021-01-19,94.51,94.51,46.0,48.84,8.57,46.09,23.07,74.78,132.04,60.54
2021-01-20,95.38,95.38,45.36,49.53,8.62,46.17,23.02,75.39,132.13,60.57
2021-01-21,92.01,92.01,43.19,48.11,8.25,45.39,21.54,73.16,130.0,58.86
2021-01-22,91.73,91.73,42.69,47.43,8.15,45.75,21.49,72.55,131.16,59.45
2021-01-25,90.9,90.9,42.58,46.9,7.82,46.23,21.51,72.08,129.33,59.41
2021-01-26,89.36,89.36,41.68,45.87,7.47,45.16,20.38,71.31,123.64,58.15
2021-01-27,88.2,88.2,40.65,45.35,7.54,43.94,20.58,71.2,117.63,58.73
2021-01-28,89.02,89.02,41.11,46.06,7.56,44.77,20.95,71.45,122.6,58.33
2021-01-29,85.2,85.2,40.03,44.84,7.24,43.16,20.06,67.8,120.9,56.43
2021-02-01,86.41,86.41,40.71,44.92,7.34,43.45,20.39,67.38,120.26,56.24
2021-02-02,87.06,87.06,40.97,45.63,7.38,45.15,20.73,68.66,119.58,57.77
2021-02-03,88.96,88.96,43.21,47.42,7.8,47.3,22.02,71.29,126.64,60.1
2021-02-04,89.0,89.0,44.01,48.33,7.81,47.33,22.3,71.93,126.6,61.06
2021-02-05,89.26,89.26,44.42,49.95,7.94,47.65,22.56,72.04,128.24,61.72
2021-02-08,91.48,91.48,46.78,52.1,8.98,49.48,25.45,75.79,133.05,64.79
2021-02-09,90.96,90.96,46.88,50.63,8.89,48.87,24.65,74.53,129.04,64.59
2021-02-10,92.52,92.52,47.25,51.12,9.09,49.81,25.6,76.72,132.35,65.11
2021-02-11,92.02,92.02,46.44,49.84,8.75,49.76,24.98,77.24,129.87,64.55
2021-02-12,92.55,92.55,47.16,50.52,8.97,50.46,25.39,77.23,132.29,64.74
2021-02-15,,,,,,,,,,
2021-02-16,93.13,93.13,48.85,52.04,9.55,51.46,26.46,79.39,136.16,66.96
2021-02-17,95.92,95.92,49.36,52.85,9.58,51.89,26.73,80.64,136.2,68.12
2021-02-18,95.0,95.0,47.69,52.02,9.12,51.22,25.28,80.05,133.01,67.83
2021-02-19,95.8,95.8,48.42,52.37,9.45,53.0,25.42,82.31,133.94,71.53
2021-02-22,98.39,98.39,50.88,54.3,10.2,54.85,26.47,83.96,139.47,74.25
2021-02-23,99.63,99.63,52.1,55.05,11.16,55.77,26.06,85.53,145.24,75.81
2021-02-24,103.31,103.31,54.67,56.7,11.84,56.65,28.16,87.25,150.06,78.16
2021-02-25,102.35,102.35,53.03,55.76,11.3,55.07,26.75,84.64,149.05,78.15
2021-02-26,100.0,100.0,52.01,54.37,11.1,54.62,26.61,83.05,148.57,76.98
2021-03-01,102.05,102.05,52.61,56.4,11.2,56.1,27.64,84.7,148.47,77.8
2021-03-02,102.44,102.44,52.28,56.07,11.23,56.03,27.82,82.27,149.75,76.63
2021-03-03,103.59,103.59,53.66,56.52,11.63,56.07,28.66,83.84,154.16,77.53
2021-03-04,104.5,104.5,55.62,58.71,12.36,56.51,29.9,84.41,158.57,76.37
2021-03-05,109.0,109.0,58.34,60.93,12.98,57.32,31.23,87.35,163.59,79.03
2021-03-08,109.75,109.75,58.78,60.87,12.38,57.16,29.77,88.47,162.09,80.56
2021-03-09,109.5,109.5,57.9,59.93,12.0,55.87,28.65,85.4,156.93,76.58
2021-03-10,111.37,111.37,59.42,61.77,12.22,58.18,29.36,88.44,158.5,81.37
2021-03-11,111.19,111.19,59.83,61.31,12.51,58.0,30.98,87.73,164.58,82.48
2021-03-12,111.56,111.56,59.19,61.97,12.2,57.75,30.63,88.66,165.63,82.42
2021-03-15,110.25,110.25,58.16,60.39,12.05,57.86,29.3,87.84,165.76,81.83
2021-03-16,107.64,107.64,56.58,59.11,11.46,56.21,28.17,84.93,163.03,79.32
2021-03-17,108.03,108.03,56.83,59.37,11.66,56.21,29.04,85.46,169.27,79.14
